declarationDate,disasterName,stateCode,stateName,declarationRequestDate,Days Diff,Quarter
2024-08-15T00:00:00.000Z,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",SD,South Dakota,2024-07-26T00:00:00.000Z,20,3
2024-08-18T00:00:00.000Z,TROPICAL STORM ERNESTO,VI,Virgin Islands of the U.S.,2024-08-16T00:00:00.000Z,2,3
2024-08-20T00:00:00.000Z,SEVERE STORM AND FLOODING,NH,New Hampshire,2024-08-05T00:00:00.000Z,15,3
2024-08-20T00:00:00.000Z,"SEVERE STORM, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",KS,Kansas,2024-08-02T00:00:00.000Z,18,3
2024-08-20T00:00:00.000Z,"SEVERE STORM, FLOODING, LANDSLIDES, AND MUDSLIDES",VT,Vermont,2024-08-02T00:00:00.000Z,18,3
2024-08-20T00:00:00.000Z,SEVERE STORMS AND FLOODING,NM,New Mexico,2024-08-06T00:00:00.000Z,14,3
2024-08-20T00:00:00.000Z,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",NE,Nebraska,2024-07-24T00:00:00.000Z,27,3
2024-08-21T00:00:00.000Z,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",CT,Connecticut,2024-08-20T00:00:00.000Z,1,3
2024-08-22T00:00:00.000Z,HOUSE DRAW FIRE,WY,Wyoming,2024-08-22T00:00:00.000Z,0,3
2024-08-23T00:00:00.000Z,STRAIGHT-LINE WINDS,MT,Montana,2024-08-14T00:00:00.000Z,9,3
2024-08-25T00:00:00.000Z,SEVERE STORM AND FLOODING,NY,New York,2024-08-23T00:00:00.000Z,2,3
2024-08-29T00:00:00.000Z,"SEVERE STORM, TORNADOES, AND FLOODING",NY,New York,2024-08-08T00:00:00.000Z,21,3
2024-09-02T00:00:00.000Z,COPPERFIELD FIRE,OR,Oregon,2024-09-01T00:00:00.000Z,1,3
2024-09-07T00:00:00.000Z,LINE FIRE,CA,California,2024-09-07T00:00:00.000Z,0,3
2024-09-07T00:00:00.000Z,RAIL RIDGE FIRE,OR,Oregon,2024-09-07T00:00:00.000Z,0,3
2024-09-07T00:00:00.000Z,DAVIS FIRE,NV,Nevada,2024-09-07T00:00:00.000Z,0,3
2024-09-08T00:00:00.000Z,BOYLES FIRE,CA,California,2024-09-08T00:00:00.000Z,0,3
2024-09-10T00:00:00.000Z,TROPICAL STORM FRANCINE,LA,Louisiana,2024-09-10T00:00:00.000Z,0,3
2024-09-11T00:00:00.000Z,TROPICAL STORM DEBBY,PA,Pennsylvania,2024-08-23T00:00:00.000Z,19,3
